id,State,ST,Fips,County,Precincts,Votes,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,elevation,Annual Prcp,Winter Prcp,Summer Prcp,Spring Prcp,Autumn Prcp,Annual Tavg,Annual Tmax,Annual Tmin,Winter Tavg,Winter Tmax,Winter Tmin,Summer Tavg,Summer Tmax,Summer Tmin,Spring Tavg,Spring Tmax,Spring Tmin,Autumn Tavg,Autumn Tmax,Autumn Tmin,Nearest County,temp,precip,reporting,Est Votes Remaining,total16,total08,total12,other08,other12,Winner
84,Georgia,GA,13135,"Gwinnett County, Georgia",157.0,323931.0,12.7,87.3,34.9,10.9,78.9,32855.99524,47.95,21.35,0.2,9.95,2.05,18.45,17.3,8.0,786116,49.8,10.25,0.408,14.1,37.85,13.5,27.9,0.1,11.05,9.65,47.95,21.35,18.45,9.95,0.2,2.05,57.9,0.31986725,33.3,-84.02293809999999,33.9591011,2.6,2.7,0.08,33.0,0.28,0.136,0.253,0.07400000000000001,355.1,195.3,0.23800000000000002,0.078,256.77,5.37,40.6,6.2,,,,,,,,,,,,,,,,,,,,,,,,,157.0,0.0,323931.0,290282.0,296728.0,2511.0,4364.0,0
85,Missouri,MO,29045,"Clark County, Missouri",7.0,3316.0,15.7,84.3,12.9,2.9,78.4,22658.8108,97.85,0.2,0.15,0.25,1.1,0.45,21.65,9.35,7158,41.2,12.9,0.406,19.4,25.3,13.5,22.1,1.2,9.8,28.0,97.85,0.2,0.45,0.25,0.15,1.1,98.1,0.957616,42.3,-91.729472,40.407274799999996,4.3,3.2,0.06,51.5,0.257,0.23399999999999999,0.33399999999999996,0.11800000000000001,,,0.198,0.07200000000000001,191.04,,103.2,,225.6,3907.0,477.0,1313.0,1146.0,971.0,,,,,,,,,,,,,,,,29045.0,,992.378,7.0,0.0,3316.0,3456.0,3225.0,102.0,97.0,1
86,Kansas,KS,20077,"Harper County, Kansas",16.0,2513.0,14.0,86.0,16.3,5.8,69.55,23021.02413,93.7,0.45,0.8,0.3,1.15,3.55,16.45,8.85,5914,35.7,11.4,0.43700000000000006,15.4,30.6,16.6,20.65,1.9,11.85,18.4,93.7,0.45,3.55,0.3,0.8,1.15,94.0,0.87945475,44.6,-98.06659,37.188184,2.9,1.8,0.06,43.5,0.359,0.22899999999999998,0.28800000000000003,0.115,200.2,,0.177,0.037000000000000005,153.88,,122.6,,392.4,3339.5,347.5,1147.5,1076.0,768.5,,,,,,,,,,,,,,,,20077.0,,848.2330000000001,16.0,0.0,2513.0,2796.0,2389.0,61.0,80.0,1
87,Illinois,IL,17033,"Crawford County, Illinois",24.0,8507.0,13.5,86.5,13.5,3.4,75.4,25462.24349,91.8,3.7,0.2,0.5,1.9,1.9,44.25,9.45,19681,46.3,16.85,0.406,27.25,26.25,17.85,20.75,1.4,7.75,25.9,91.8,3.7,1.9,0.5,0.2,1.9,92.3,0.844844,42.2,-87.75717220000001,39.0037296,5.2,,0.1,40.1,0.24600000000000002,0.188,0.326,0.09699999999999999,609.4,285.1,0.127,0.091,222.01,,66.4,,146.475,4360.5,858.5,1120.5,1288.5,1093.0,,,,,,,,,,,,,,,,17033.0,,1107.567,24.0,0.0,8507.0,9129.0,8609.0,176.0,166.0,1
88,Arkansas,AR,5123,"St. Francis County, Arkansas",15.0,7430.0,26.7,73.3,10.5,4.2,65.8,20984.47746,42.8,50.7,0.35,0.35,1.0,4.8,51.1,25.9,27513,46.0,30.15,0.475,44.65,26.05,20.9,21.7,2.6,10.25,18.45,42.8,50.7,4.8,0.35,0.35,1.0,43.15,0.4426615,36.8,-90.7421993,35.014438299999995,4.7,5.9,0.12,94.9,0.662,0.218,0.386,0.126,1079.7,285.7,0.192,0.11,506.87,10.55,74.9,9.6,91.4,4990.0,1314.0,979.0,1529.0,1168.0,605.0,709.0,501.0,400.0,495.0,305.0,795.0,897.0,692.0,603.0,708.0,497.0,616.0,729.0,504.0,5123.0,15.83333333,1267.46,15.0,0.0,7430.0,9505.0,8362.0,102.0,84.0,0
89,Tennessee,TN,47141,"Putnam County, Tennessee",24.0,26958.0,19.2,80.8,21.7,7.6,73.9,21367.60095,90.35,1.9,0.25,1.15,1.15,5.15,33.5,13.0,71129,34.9,22.1,0.478,29.25,32.0,15.55,26.1,0.45,10.5,15.25,90.35,1.9,5.15,1.15,0.25,1.15,91.5,0.81959625,35.7,-85.4969279,36.140807200000005,4.2,3.4,0.07,38.2,0.303,0.18100000000000002,0.325,0.105,294.7,89.7,0.204,0.076,357.82,3.5,73.5,7.0,449.55,5796.0,1609.0,1392.5,1546.5,1248.0,563.0,671.0,454.5,371.5,470.5,273.5,743.5,849.0,638.5,555.5,670.0,441.5,576.5,691.5,461.5,47141.0,13.5,1472.184,24.0,0.0,26958.0,27316.0,25500.0,476.0,444.0,1
90,Oklahoma,OK,40077,"Latimer County, Oklahoma",12.0,4050.0,18.7,81.3,13.8,4.9,76.7,22742.18603,70.1,0.45,18.75,0.6,7.55,2.55,23.9,16.15,10838,49.6,14.75,0.42700000000000005,21.1,28.7,15.75,19.1,1.55,17.8,17.05,70.1,0.45,2.55,0.6,18.75,7.55,70.7,0.532964,39.1,-95.2722625,34.875136499999996,5.1,5.8,0.07,51.7,0.27899999999999997,0.223,0.368,0.126,313.8,74.3,0.218,0.08800000000000001,172.51,,99.8,,203.3,5144.0,965.0,1250.0,1483.0,1446.0,,,,,,,,,,,,,,,,40077.0,,1306.576,12.0,0.0,4050.0,4173.0,3798.0,0.0,0.0,1
91,Washington,WA,53049,"Pacific County, Washington",7.0,10667.0,13.9,86.1,16.8,6.0,72.35,23403.81715,85.2,0.3,2.05,2.0,2.95,7.45,31.3,9.7,21130,58.3,16.65,0.44,20.7,30.05,20.25,21.25,5.5,8.9,14.05,85.2,0.3,7.45,2.0,2.05,2.95,87.2,0.73315375,49.8,-123.7824193,46.5565866,4.3,4.5,0.06,36.8,0.33399999999999996,0.21,0.35,0.129,81.2,102.4,0.217,0.113,180.81,,101.0,,8.725,8727.5,3578.0,610.25,2042.25,2497.0,,,,,,,,,,,,,,,,53049.0,,2216.785,7.0,0.0,10667.0,10937.0,10524.0,288.0,314.0,1
92,Massachusetts,MA,25001,"Barnstable County, Massachusetts",65.0,132667.0,5.3,94.7,40.5,16.1,79.6,32580.491430000002,92.25,1.85,0.45,0.95,2.5,2.0,7.75,5.35,219258,58.4,6.85,0.44299999999999995,8.95,36.75,19.6,25.5,0.5,11.0,6.6,92.25,1.85,2.0,0.95,0.45,2.5,93.2,0.852484,48.7,-70.2110827,41.7988188,2.5,3.3,0.07,16.9,0.305,0.142,0.18,0.086,202.1,332.7,0.059000000000000004,0.07400000000000001,467.76,1.04,68.4,4.7,17.0,4651.5,1187.5,1008.0,1254.5,1201.5,504.0,577.25,430.0,329.75,405.0,254.25,682.25,754.75,610.25,460.0,532.0,388.0,540.0,615.0,465.25,25001.0,10.22222222,1181.481,65.0,0.0,132667.0,132353.0,133115.0,2395.0,1847.0,0
93,Oklahoma,OK,40059,"Harper County, Oklahoma",6.0,1485.0,15.9,84.1,17.1,5.0,81.2,30674.554289999996,83.25,0.05,0.7,0.35,1.0,14.65,26.0,10.3,3512,40.6,12.0,0.42200000000000004,20.9,32.9,16.6,13.65,8.35,16.15,12.35,83.25,0.05,14.65,0.35,0.7,1.0,83.6,0.71468,43.4,-99.662842,36.8004561,,,0.07,46.2,0.267,,0.327,0.11699999999999999,243.6,,0.252,0.028999999999999998,56.12,,133.1,,637.2,2421.5,265.5,906.5,724.0,525.5,574.5,703.5,444.5,357.0,484.0,229.5,789.5,915.5,663.5,562.0,694.5,430.0,583.5,715.5,452.5,40059.0,14.13888889,615.061,6.0,0.0,1485.0,1563.0,1434.0,0.0,0.0,1
94,Pennsylvania,PA,42107,"Schuylkill County, Pennsylvania",125.0,62750.0,16.4,83.6,13.6,5.1,74.7,27057.98349,93.7,2.5,0.05,0.55,0.8,2.4,19.65,10.5,147579,42.2,11.95,0.41,16.75,26.9,16.1,22.75,0.7,11.2,22.45,93.7,2.5,2.4,0.55,0.05,0.8,94.25,0.8792645,42.6,-76.2178,40.7036899,3.5,3.6,0.08,32.6,0.318,0.24600000000000002,0.33,0.107,145.7,102.5,0.12300000000000001,0.094,204.09,2.51,77.9,5.7,383.53333330000004,5205.0,1099.0,1420.666667,1295.666667,1389.666667,,,,,,,,,,,,,,,,42107.0,,1322.07,125.0,0.0,62750.0,63057.0,57727.0,990.0,903.0,1
95,Ohio,OH,39089,"Licking County, Ohio",96.0,79399.0,11.8,88.2,22.1,6.8,78.9,30088.0073,93.1,3.05,0.2,0.7,1.7,1.25,20.4,6.7,161453,43.9,10.85,0.414,15.3,33.1,16.05,26.1,0.4,9.25,15.15,93.1,3.05,1.25,0.7,0.2,1.7,93.8,0.8681895000000001,38.6,-82.4812506,40.0936093,3.6,3.6,0.07,34.8,0.285,0.23,0.304,0.11900000000000001,306.7,79.5,0.128,0.065,203.66,3.36,59.5,7.1,285.05,4099.0,837.5,1208.25,1132.0,921.25,,,,,,,,,,,,,,,,39089.0,,1041.146,96.0,0.0,79399.0,82356.0,81550.0,1506.0,1846.0,1
96,Mississippi,MS,28147,"Walthall County, Mississippi",20.0,5909.0,26.7,73.3,14.0,3.6,81.45,21218.92,53.0,44.3,0.4,0.15,0.65,1.5,20.5,25.3,15373,70.8,22.75,0.462,30.5,29.55,12.6,20.9,2.6,14.2,20.2,53.0,44.3,1.5,0.15,0.4,0.65,53.15,0.47743450000000004,36.6,-90.1034306,31.164492,4.9,3.8,0.11,59.5,0.35700000000000004,0.201,0.39299999999999996,0.153,376.5,214.3,0.24600000000000002,0.114,71.23,13.91,112.0,,116.4,6380.0,1757.0,1739.0,1548.0,1336.0,659.0,778.0,540.0,500.0,622.0,378.0,805.0,915.0,695.0,654.0,777.0,532.0,673.0,797.0,550.0,28147.0,18.83333333,1620.52,20.0,0.0,5909.0,7780.0,7551.0,71.0,78.0,1
97,Arkansas,AR,5093,"Mississippi County, Arkansas",20.0,13075.0,24.4,75.6,11.0,2.9,73.8,22554.7073,60.95,33.75,0.2,0.55,1.25,3.35,40.4,17.35,46629,57.6,25.35,0.467,39.25,23.4,14.75,21.55,2.35,10.35,27.55,60.95,33.75,3.35,0.55,0.2,1.25,61.5,0.48670925,34.6,-90.05220859999999,35.7669426,5.4,4.8,0.12,85.4,0.51,0.295,0.391,0.135,1224.8,234.8,0.19,0.1,835.35,12.45,90.1,9.2,73.75,5002.5,1300.5,1046.0,1468.0,1188.0,608.5,701.5,516.0,400.0,480.5,319.0,802.5,896.0,709.0,608.5,702.5,514.0,619.5,722.5,517.0,5093.0,16.02777778,1270.635,20.0,0.0,13075.0,14010.0,13375.0,367.0,305.0,1
98,Texas,TX,48407,"San Jacinto County, Texas",12.0,10305.0,23.0,77.0,9.6,2.9,70.8,25671.75207,77.55,11.05,0.3,0.3,1.6,9.25,29.75,15.4,25514,29.9,19.2,0.44,25.35,24.85,17.95,23.6,0.65,16.5,16.45,77.55,11.05,9.25,0.3,0.3,1.6,77.85,0.62244075,42.2,-95.1628522,30.574217800000003,,,0.09,59.0,0.32899999999999996,,0.304,0.121,130.6,103.2,0.28600000000000003,0.08,329.86,8.94,107.6,,59.7,5424.0,1275.0,1253.0,1249.0,1647.0,666.0,772.0,559.0,508.0,616.0,400.0,810.0,910.0,710.0,664.0,771.0,557.0,677.0,787.0,568.0,48407.0,19.22222222,1377.6960000000001,12.0,0.0,10305.0,8958.0,9616.0,86.0,99.0,1
99,California,CA,6091,"Sierra County, California",22.0,1804.0,11.7,88.3,23.0,7.0,62.35,30675.00635,87.0,0.45,0.85,0.2,1.5,10.0,0.0,6.05,3240,32.3,8.9,0.389,12.85,34.0,19.1,16.95,2.65,15.5,11.8,87.0,0.45,10.0,0.2,0.85,1.5,87.2,0.7672215,50.8,-120.5219926,39.576925200000005,,,,,0.319,,0.23399999999999999,0.095,,,0.201,0.14300000000000002,379.95,,,,1473.822222,,,,,,,,,,,,,,,,,,,,,6091.0,,,22.0,0.0,1804.0,1991.0,1795.0,90.0,86.0,1
100,Washington,WA,53001,"Adams County, Washington",3.0,4081.0,32.5,67.5,13.4,4.8,66.15,21489.557780000003,40.85,0.25,0.35,0.3,1.25,57.05,43.55,13.85,17878,25.5,23.15,0.41100000000000003,33.45,26.4,14.35,17.0,11.55,12.15,18.6,40.85,0.25,57.05,0.3,0.35,1.25,41.15,0.49252625,29.6,-118.5333078,47.0048395,3.6,2.5,0.06,96.9,0.271,0.10099999999999999,0.373,0.10099999999999999,278.6,50.1,0.248,0.08800000000000001,311.4,,50.4,7.6,532.45,1107.5,377.5,146.0,299.5,284.5,491.5,612.0,371.5,311.5,376.5,246.5,675.0,839.5,510.0,485.5,613.5,357.0,492.0,615.0,369.0,53001.0,9.527777777999999,281.305,2.0,1760.0,4081.0,4858.0,4793.0,84.0,82.0,1
101,Nevada,NV,32013,"Humboldt County, Nevada",15.0,6433.0,19.1,80.9,13.4,3.1,73.1,32109.56032,69.75,0.3,4.0,0.8,1.8,23.35,28.1,5.4,17079,23.0,12.75,0.401,18.55,23.2,15.5,19.65,3.7,23.25,14.65,69.75,0.3,23.35,0.8,4.0,1.8,70.55,0.5430255,36.6,-118.12759150000001,41.4079136,4.0,4.1,0.06,61.9,0.262,0.21600000000000003,0.271,0.071,262.9,,0.24,0.062,368.92,9.11,102.7,,1332.322222,906.5555555999999,280.6666667,122.1111111,294.6666667,209.11111110000002,488.8888888999999,646.6666667000001,331.44444439999995,309.0,423.1111111000001,195.0,681.1111111,874.6666667000002,487.66666669999995,475.33333330000005,627.6666667000001,323.1111111,486.77777779999997,656.7777778,316.8888889,32013.0,9.382716048999999,230.2651111,15.0,0.0,6433.0,5664.0,5744.0,169.0,197.0,1
102,Pennsylvania,PA,42009,"Bedford County, Pennsylvania",40.0,23504.0,16.1,83.9,12.5,3.8,74.2,24113.21937,97.6,0.45,0.1,0.25,0.8,0.85,27.45,10.55,49705,43.4,13.85,0.408,20.85,23.0,18.15,21.8,1.3,12.35,23.45,97.6,0.45,0.85,0.25,0.1,0.8,97.85,0.95273975,42.9,-78.4899795,39.997115,3.4,2.9,0.05,30.2,0.255,0.22899999999999998,0.33299999999999996,0.124,66.3,62.0,0.14300000000000002,0.09300000000000001,102.34,,71.4,6.6,363.475,3848.25,789.75,1016.25,1075.5,966.75,,,,,,,,,,,,,,,,42009.0,,977.4555,40.0,0.0,23504.0,22468.0,21697.0,285.0,207.0,1
103,Florida,FL,12049,"Hardee County, Florida",12.0,7577.0,40.1,59.9,7.5,2.3,63.2,20532.29143,48.25,6.9,0.15,1.9,0.7,42.15,34.8,20.4,28207,18.0,24.5,0.408,31.05,19.15,16.8,16.4,17.35,18.4,11.9,48.25,6.9,42.15,1.9,0.15,0.7,50.15,0.41564175,33.4,-81.8215798,27.492845799999998,3.5,2.5,0.08,92.3,0.364,0.209,0.369,0.132,380.1,431.8,0.326,0.092,312.53,5.23,73.4,6.9,32.6,5100.0,677.5,2363.0,921.0,1138.5,731.5,849.0,614.0,625.5,753.5,498.0,823.0,927.5,718.5,720.0,849.0,591.0,754.5,862.0,646.0,12049.0,22.86111111,1295.4,12.0,0.0,7577.0,7412.0,7226.0,81.0,67.0,1
104,Michigan,MI,26009,"Antrim County, Michigan",15.0,13572.0,10.5,89.5,23.3,9.4,74.8,22293.34445,95.45,0.25,0.75,0.2,1.65,1.65,27.0,5.0,23834,51.1,14.95,0.441,25.0,27.3,20.45,22.3,1.75,10.45,17.75,95.45,0.25,1.65,0.2,0.75,1.65,95.65,0.91168125,46.3,-85.1756245,45.0054565,5.3,5.4,0.07,37.4,0.272,0.205,0.312,0.1,235.9,33.2,0.162,0.10300000000000001,167.02,,69.2,,204.7333333,3295.666667,635.3333332999999,912.3333332999998,692.0,1056.0,451.66666669999995,559.3333332999999,345.0,231.33333330000002,310.3333333,152.33333330000002,664.0,793.3333332999999,534.6666667,425.66666669999995,545.0,306.3333333,483.33333330000005,584.6666667000001,382.6666667,26009.0,7.314814815,837.0993333,15.0,0.0,13572.0,13852.0,13195.0,267.0,171.0,1
105,Arkansas,AR,5071,"Johnson County, Arkansas",22.0,9086.0,23.6,76.4,14.8,4.4,67.55,21456.1927,84.2,1.45,0.85,0.4,1.4,11.65,33.35,12.4,25058,22.4,19.75,0.45,29.3,19.55,12.95,23.0,1.25,13.35,29.9,84.2,1.45,11.65,0.4,0.85,1.4,84.6,0.72303075,37.1,-93.4663223,35.5733586,4.7,3.4,0.07,65.8,0.278,0.244,0.349,0.11900000000000001,310.8,27.5,0.23,0.068,204.02,,65.9,,197.85,5078.5,1091.0,1122.5,1491.5,1373.5,596.5,700.0,493.0,395.5,493.5,298.0,786.0,890.5,682.0,589.5,696.0,483.0,611.0,716.5,506.0,5071.0,15.36111111,1289.9389999999999,22.0,0.0,9086.0,8180.0,8098.0,224.0,235.0,1
106,Texas,TX,48231,"Hunt County, Texas",35.0,31185.0,20.0,80.0,17.0,5.5,74.65,25264.517780000002,75.85,8.5,0.6,0.85,1.65,12.55,24.65,10.1,84166,41.9,18.65,0.45299999999999996,26.8,28.8,15.5,26.1,0.7,13.15,15.65,75.85,8.5,12.55,0.85,0.6,1.65,76.7,0.5986779999999999,37.2,-96.08380720000001,33.123437800000005,3.5,3.5,0.08,56.9,0.32899999999999996,0.34,0.324,0.111,389.5,108.1,0.26,0.078,411.76,6.28,75.7,8.5,166.85,4455.5,953.5,945.5,1282.0,1274.5,,,,,,,,,,,,,,,,48231.0,,1131.697,35.0,0.0,31185.0,29524.0,28049.0,357.0,367.0,1
107,Minnesota,MN,27149,"Stevens County, Minnesota",26.0,5350.0,10.3,89.7,23.5,8.4,78.95,16966.366990000002,92.3,1.2,1.05,1.05,1.85,2.5,11.45,5.45,9680,50.7,14.45,0.465,9.55,38.3,18.9,16.8,3.65,5.9,16.5,92.3,1.2,2.5,1.05,1.05,1.85,93.35,0.85326075,35.0,-95.9923145,45.5934609,3.2,3.5,0.04,9.7,0.196,,0.28300000000000003,0.07400000000000001,103.3,,0.10300000000000001,0.037000000000000005,123.42,,80.3,,347.5,2647.0,217.0,1122.0,657.0,651.0,424.0,528.0,320.0,133.0,226.0,39.0,683.0,793.0,572.0,428.0,533.0,324.0,447.0,555.0,338.0,27149.0,5.777777778,672.3380000000001,26.0,0.0,5350.0,5634.0,5652.0,143.0,144.0,1
108,Massachusetts,MA,25023,"Plymouth County, Massachusetts",143.0,264168.0,8.2,91.8,32.5,11.4,82.25,37059.6473,84.75,7.0,0.15,1.25,3.8,3.05,9.0,7.2,493616,63.9,6.8,0.425,7.8,37.0,16.2,27.4,0.3,9.7,9.35,84.75,7.0,3.05,1.25,0.15,3.8,86.0,0.725689,40.5,-70.7419417,41.987195899999996,3.1,3.6,0.08,17.0,0.255,0.17800000000000002,0.247,0.095,281.0,181.2,0.043,0.069,447.84,2.8,46.1,5.0,19.24,5081.4,1242.6,1144.2,1379.6,1315.0,496.0,600.0,392.2,306.2,404.2,208.2,690.0,794.8,585.0,463.4,568.0,359.2,522.0,629.6,414.8,25023.0,9.777777777999999,1290.6756,143.0,0.0,264168.0,249817.0,256531.0,5096.0,3600.0,0
109,Wisconsin,WI,55083,"Oconto County, Wisconsin",28.0,19924.0,12.8,87.2,13.2,3.5,75.25,28724.721589999997,96.3,0.3,1.05,0.3,0.8,1.2,17.2,10.3,37469,35.3,11.15,0.409,15.7,27.35,14.45,21.05,2.9,11.95,22.35,96.3,0.3,1.2,0.3,1.05,0.8,96.6,0.92770525,43.0,-88.2065162,44.9965754,4.2,3.8,0.06,23.7,0.237,0.185,0.294,0.083,189.5,18.2,0.111,0.079,35.34,,70.5,,216.725,3178.0,424.0,1090.25,794.25,869.5,430.75,537.0,324.5,181.0,272.75,89.0,661.0,778.25,543.75,420.0,531.75,308.25,457.0,560.0,354.0,55083.0,6.152777778,807.212,28.0,0.0,19924.0,18968.0,19859.0,286.0,253.0,1
110,Kentucky,KY,21059,"Daviess County, Kentucky",85.0,45781.0,13.3,86.7,18.2,7.3,76.35,26897.31238,90.8,4.65,0.1,0.6,1.65,2.15,26.3,9.75,95315,51.7,14.6,0.43799999999999994,21.45,28.3,16.95,24.45,0.6,10.95,18.75,90.8,4.65,2.15,0.6,0.1,1.65,91.4,0.82739775,38.6,-87.08713900000001,37.731671,4.0,3.7,0.09,53.3,0.341,0.24100000000000002,0.3,0.114,448.4,89.0,0.145,0.067,176.55,3.32,74.9,7.6,121.9,4459.0,1093.0,1009.0,1315.0,1042.0,,,,,,,,,,,,,,,,21059.0,,1132.586,85.0,0.0,45781.0,43622.0,42087.0,648.0,787.0,1
111,Ohio,OH,39131,"Pike County, Ohio",22.0,11513.0,22.6,77.4,12.6,5.5,76.75,22417.92191,95.9,0.9,0.75,0.15,1.6,0.75,35.65,15.3,28282,44.7,23.5,0.43200000000000005,32.7,26.75,20.1,19.3,1.5,12.05,20.3,95.9,0.9,0.75,0.15,0.75,1.6,96.05,0.92013275,38.3,-83.0529207,39.0713645,5.5,5.6,0.09,63.2,0.4,0.259,0.321,0.128,195.6,58.4,0.151,0.129,28.18,,69.7,8.2,174.0,4049.5,898.5,1088.5,1195.5,867.0,,,,,,,,,,,,,,,,39131.0,,1028.573,22.0,0.0,11513.0,12506.0,11596.0,311.0,227.0,1
112,North Carolina,NC,37011,"Avery County, North Carolina",19.0,8060.0,18.7,81.3,20.3,6.0,76.25,19670.20603,89.85,3.3,0.3,0.4,2.1,4.1,22.7,10.0,17850,52.9,15.6,0.529,20.85,29.7,22.15,21.35,1.75,12.25,12.75,89.85,3.3,4.1,0.4,0.3,2.1,90.25,0.81053825,41.7,-81.920363,36.0728941,4.3,2.7,0.08,25.9,0.24,0.245,0.289,0.105,56.9,57.5,0.255,0.11199999999999999,126.53,,80.2,,1434.9,5408.0,1211.666667,1561.0,1377.666667,1257.666667,470.66666669999995,554.3333332999999,387.0,300.3333333,387.0,214.33333330000002,633.0,708.0,557.6666667000001,456.66666669999995,545.6666667000001,367.6666667,489.0,574.0,404.6666667,37011.0,8.37037037,1373.632,19.0,0.0,8060.0,7943.0,7759.0,84.0,111.0,1
113,Colorado,CO,8097,"Pitkin County, Colorado",10.0,10387.0,3.9,96.1,59.7,17.5,79.45,35895.41143,88.2,0.3,0.1,1.2,1.5,8.8,9.35,8.15,16231,100.0,8.2,0.591,10.8,46.65,18.1,21.15,0.45,10.15,3.5,88.2,0.3,8.8,1.2,0.1,1.5,89.4,0.786047,42.7,-106.9159433,39.2175333,1.8,2.7,0.09,7.6,0.183,,0.142,0.048,134.5,204.4,0.17800000000000002,0.07400000000000001,159.45,,62.2,,2201.8,1978.0,443.0,427.33333330000005,558.6666667000001,549.0,433.66666669999995,572.6666667000001,295.0,234.66666669999998,356.0,113.66666670000001,630.3333332999999,791.3333332999999,469.66666669999995,422.66666669999995,555.6666667000001,289.3333333,443.0,582.6666667000001,303.3333333,8097.0,6.314814815,502.412,10.0,0.0,10387.0,9966.0,10075.0,133.0,202.0,0
114,Indiana,IN,18175,"Washington County, Indiana",21.0,11333.0,20.4,79.6,10.5,5.2,72.1,25078.17969,97.35,0.15,0.1,0.45,0.9,1.05,25.2,15.15,28021,34.9,16.65,0.409,24.1,23.25,17.45,20.15,1.05,11.5,26.55,97.35,0.15,1.05,0.45,0.1,0.9,97.8,0.947917,38.2,-86.10475140000001,38.6006125,5.6,3.9,0.07,42.7,0.318,0.371,0.305,0.10300000000000001,202.5,58.0,0.174,0.086,,,77.2,,239.3,4561.0,1021.0,1125.0,1397.0,1018.0,551.0,660.0,442.0,343.0,432.0,253.0,742.0,854.0,630.0,548.0,665.0,431.0,568.0,684.0,452.0,18175.0,12.83333333,1158.494,21.0,0.0,11333.0,11305.0,10737.0,224.0,295.0,1
115,Louisiana,LA,22071,"Orleans Parish, Louisiana",351.0,165619.0,16.6,83.4,31.6,13.4,75.25,24067.29778,29.85,61.1,0.15,2.85,1.3,4.75,40.85,15.05,336249,59.0,23.9,0.541,38.0,37.3,22.0,21.95,0.25,8.95,9.55,29.85,61.1,4.75,2.85,0.15,1.3,32.7,0.465663,35.8,-89.93900740000001,30.068636100000003,3.6,4.4,0.13,44.4,0.614,0.19899999999999998,0.309,0.115,1654.9,1834.3,0.231,0.078,776.46,51.49,110.3,10.6,1.95,6327.25,1511.25,1999.75,1433.5,1382.75,,,,,,,,,,,,,,,,22071.0,,1607.1215,351.0,0.0,165619.0,147439.0,157813.0,2207.0,3088.0,0
116,Arizona,AZ,4011,"Greenlee County, Arizona",8.0,3243.0,10.2,89.8,13.4,3.2,76.0,34383.1273,49.05,0.5,1.65,0.45,1.45,46.9,12.25,16.0,8080,46.2,14.15,0.365,18.9,28.2,16.2,16.35,1.55,26.65,11.1,49.05,0.5,46.9,0.45,1.65,1.45,49.5,0.461079,35.2,-109.2423231,33.2388723,4.2,3.7,0.07,70.3,0.36700000000000005,0.198,0.342,0.09300000000000001,441.6,82.3,0.14400000000000002,0.06,,,79.2,,1912.05,,,,,,,,,,,,,,,,,,,,,4011.0,,,8.0,0.0,3243.0,2913.0,2986.0,36.0,84.0,1
117,Missouri,MO,29033,"Carroll County, Missouri",14.0,4361.0,15.9,84.1,17.9,6.1,73.05,27171.93207,95.6,1.9,0.2,0.25,0.85,1.2,16.35,11.85,9555,47.6,13.95,0.504,19.4,30.2,17.5,18.15,3.75,12.25,18.15,95.6,1.9,1.2,0.25,0.2,0.85,95.85,0.9145235,42.0,-93.50022659999999,39.427375399999995,3.2,2.7,0.08,36.8,0.243,0.209,0.316,0.10800000000000001,172.8,,0.162,0.08,88.26,,111.8,,234.55,4124.0,486.5,1397.0,1161.0,1079.5,,,,,,,,,,,,,,,,29033.0,,1047.496,14.0,0.0,4361.0,4538.0,4304.0,48.0,78.0,1
118,Vermont,VT,50011,"Franklin County, Vermont",16.0,19373.0,12.2,87.8,21.2,7.5,73.95,30364.61937,95.05,0.5,0.8,0.5,2.0,1.05,16.35,9.55,47803,30.3,10.7,0.386,14.25,32.7,16.55,22.15,2.0,11.55,15.1,95.05,0.5,1.05,0.5,0.8,2.0,95.55,0.9040745000000001,38.9,-72.9094023,44.8589643,3.6,3.5,0.07,30.0,0.281,0.191,0.292,0.08,241.1,72.5,0.081,0.047,165.62,,69.0,7.8,124.43333329999999,3960.0,677.0,1251.0,911.0,1121.0,438.66666669999995,550.0,327.6666667,191.66666669999998,297.6666667,85.66666667,664.0,779.0,549.3333332999999,422.0,541.0,303.6666667,472.0,577.0,367.0,50011.0,6.592592592999999,1005.84,16.0,0.0,19373.0,21460.0,19888.0,428.0,426.0,0
